Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
ts-preserve-other-service,rabbitmq,ts-sso-service,consul,ts-preserve-service,config-server,discovery-server,rabbitmq,rabbitmq,discovery-server,gateway-service,scaffold-eureka,ts-preserve-service,auth-server
ts-travel-service,jhipster-registry,ts-station-service,rabbitmq,ts-preserve-other-service,movie-catalog-service,discovery-service,gateway,discovery-server,rabbitmq,rabbitmq,eureka,ts-preserve-other-service,store-service
ts-preserve-service,order,ts-order-other-service,jhipster-registry,ts-preserve-service,rabbitmq,zuul,registry,consul,jhipster-registry,gateway-service,rabbit,ts-order-service,catalog
ts-sso-service,order,scaffold-eureka,discovery-server,ts-preserve-other-service,jhipster-registry,scaffold-zuul,serviceregistry,scaffold-eureka,kafka,movie-catalog-service,registry,ts-order-other-service,customer
ts-order-other-service,benchmark-service,ts-order-service,scaffold-eureka,config-server,apache,api-gateway,gateway-service,discovery-service,consul,jhipster-registry,account-service,ts-seat-service,customer
ts-preserve-other-service,department-service,ts-station-service,discovery-service,config,order,api-gateway,api-gateway,eureka,discovery-service,config-server,customer-service,ts-travel-service,catalog
ts-order-service,eureka,ts-order-service,eureka,configserver,configserver,microservice-api-gateway,discovery-service,eureka,discovery-server,config-service,jhipster-registry,ts-station-service,price-service
ts-preserve-service,apache,logstash,eureka,ts-rebook-service,config-service,logstash,eureka,serviceregistry,registry,configserver,discovery-server,ts-rebook-service,user-service
ts-seat-service,consul,discovery-service,webservice-registry,config-server,configserver,ts-station-service,zuul,logstash,discovery-service,order,mysql,ts-sso-service,account-service
ts-travel2-service,kafka,eureka-server,serviceregistry,zookeeper,configurator,discovery-server,jhipster-registry,webservice-registry,scaffold-eureka,order,benchmark-service,ts-travel2-service,monitor-dashboard
ts-travel-service,configserver,ts-travel-service,logstash,config-server,config-service,consul,gateway,discovery-service,gateway-service,apache,repository-service,eureka-server,security-service
ts-station-service,gateway-service,ts-travel-service,eureka-server,config-service,config-service,personal-info-service,registry,registry,gateway,configserver,serviceregistry,admin,category-service
scaffold-eureka,discovery-service,registry,zipkin,configserver,order,jhipster-registry,eureka-service,eureka-service,zuul,backend,rating-service,ts-travel-service,product-service
config-server,employee-service,rabbit,employee-service,ts-travel-plan-service,api-gateway,kafka,recommendation-client,kafka,scaffold-zuul,authserver,invoicing,config-server,user-proxy
configserver,organization-service,ts-order-other-service,eureka-service,ts-rebook-service,config,rabbitmq,gateway-service,zipkin,serviceregistry,configurator,shipping,logstash,customer-service
ts-seat-service,gateway-service,ts-train-service,kafka,admin,config-server,eureka-discovery,auth-service,eureka-server,eureka,config-server,consul,ts-preserve-service,item-service
ts-order-service,scaffold-eureka,ts-route-service,discovery-server,configurator,config-server,eureka-service,kafka,discovery-service,eureka-service,user-service,discovery-service,ts-seat-service,movie-service
config-service,repository-service,discovery-service,discovery-service,ts-travel2-service,zookeeper,serviceregistry,discovery-service,employee-service,logstash,api-gateway,rabbitmq,ts-preserve-other-service,account-service
ts-basic-service,configserver,ts-travel2-service,webservice-registry,ts-cancel-service,gateway,zipkin,eureka-discovery,webservice-registry,eureka,config-service,order,ts-ticketinfo-service,config-service
ts-station-service,movie-catalog-service,eureka,registry,ts-seat-service,gateway-service,discovery-service,zuul-gateway,discovery-server,api-gateway,postgres,webservice-registry,ts-travel-plan-service,card-service
config-server,discovery-server,discovery-server,discovery-service,ts-admin-basic-info-service,gateway-service,registry,config-service,shipping,api-gateway,apache,message-service,ts-basic-service,edge-server
admin,config-service,webservice-registry,discovery-service,ts-travel-service,gateway-service,eureka,eureka,invoicing,recommendation-client,zuul,appointment-service,ts-travel2-service,statement-service
eureka-server,serviceregistry,ts-seat-service,eureka-discovery,config-service,organization-service,registry,turbine-stream-service,repository-service,webservice-registry,approval-service,discovery-service,zookeeper,qbike-intention
ts-rebook-service,api-gateway,webservice-registry,registry,ts-admin-basic-info-service,zuul,edge-server,rabbitmq,jhipster-registry,zuul,config,eureka,reminder,qbike-trip
configserver,config-service,ts-seat-service,shipping,ts-travel-plan-service,admin,discovery-service,configserver,benchmark-service,api-gateway,gateway,movie-info-service,mailer,user-service
config-server,registry,ts-ticketinfo-service,department-service,config-service,postgres,gateway-service,config-service,eureka-discovery,webservice-registry,recommendation-client,ratings-data-service,ts-station-service,task-webservice
ts-order-other-service,eureka,ts-route-service,benchmark-service,ts-admin-travel-service,apache,gateway,notification-service,discovery-service,repository-service,github-repository,blog,config,auth-server
ts-travel2-service,gateway,eureka,repository-service,ts-cancel-service,repository-service,zuul-gateway,statistics-service,registry,benchmark-service,store,customer,api-gateway,card-statement-composite
config,config-server,eureka-service,order,apache,recommendation-client,repository-service,rabbit,gateway-service,edge-server,movie-info-service,order,oauth,comments-webservice
zookeeper,webservice-registry,mysql,invoicing,organization-service,user-service,benchmark-service,configserver,recommendation-client,discovery-service,ratings-data-service,store,ts-order-service,api-gateway
registry,discovery-service,eureka,catalog,gateway,department-service,shipping,message-service,blog,eureka-discovery,organization-service,catalog,ts-train-service,user-webservice
discovery-service,configurator,consul,order,order,benchmark-service,invoicing,scaffold-eureka,gateway,shipping,config-service,webservice-registry,registry,web-portal
discovery-service,auth-service,ts-train-service,rating-service,ts-basic-service,auth-service,ts-station-service,qbike-order,api-gateway,invoicing,repository-service,catalog,ts-security-service,rating-service
eureka,order,statistics-service,customer,auth-service,product-proxy,discovery-service,webservice-registry,rating-service,store,benchmark-service,order,ts-route-service,hotel-service
rabbit,discovery-service,kafka,rabbit,ts-travel2-service,foodtray-service,recommendation-client,turbine,api-gateway,blog,product-proxy,customer,ts-food-service,monitoring
webservice-registry,recommendation-client,employee-service,auth-service,ts-travel-service,auth-service,store,config-server,zuul,zuul-gateway,config-server,employee-service,ts-route-plan-service,customer-service
