Column 1,Column 2,Jaccard Index
AVG_in_degree,AVG_out_degree,0.13253012048192772
AVG_in_degree,CM_in_degree,0.010416666666666666
AVG_in_degree,Clustering & Authority Score,0.020833333333333332
AVG_in_degree,Clustering & Betweenness Centrality,0.010416666666666666
AVG_in_degree,Clustering & Closeness Centrality,0.052083333333333336
AVG_in_degree,Clustering & Degree Centrality,0.030612244897959183
AVG_in_degree,Clustering & Eigenvector Centrality,0.030612244897959183
AVG_in_degree,Clustering & Hub Score,0.0
AVG_in_degree,Clustering & In-degree Centrality,0.03125
AVG_in_degree,Clustering & Out-degree Centrality,0.01
AVG_in_degree,Clustering & PageRank Centrality,0.020833333333333332
AVG_in_degree,ER_in_degree,0.34375
AVG_in_degree,ER_out_degree,0.0546875
AVG_in_degree,LOUBAR_in_degree,0.7338709677419355
AVG_in_degree,LOUBAR_out_degree,0.23809523809523808
AVG_in_degree,CM_out_degree,0.0
AVG_in_degree,Arcan_abs,0.06
AVG_in_degree,Arcan_norm,0.265625
AVG_out_degree,CM_in_degree,0.010869565217391304
AVG_out_degree,Clustering & Authority Score,0.010752688172043012
AVG_out_degree,Clustering & Betweenness Centrality,0.010869565217391304
AVG_out_degree,Clustering & Closeness Centrality,0.031914893617021274
AVG_out_degree,Clustering & Degree Centrality,0.031914893617021274
AVG_out_degree,Clustering & Eigenvector Centrality,0.0
AVG_out_degree,Clustering & Hub Score,0.0
AVG_out_degree,Clustering & In-degree Centrality,0.021505376344086023
AVG_out_degree,Clustering & Out-degree Centrality,0.05434782608695652
AVG_out_degree,Clustering & PageRank Centrality,0.021739130434782608
AVG_out_degree,ER_in_degree,0.07758620689655173
AVG_out_degree,ER_out_degree,0.3645833333333333
AVG_out_degree,LOUBAR_in_degree,0.15934065934065933
AVG_out_degree,LOUBAR_out_degree,0.564625850340136
AVG_out_degree,CM_out_degree,0.0
AVG_out_degree,Arcan_abs,0.07368421052631578
AVG_out_degree,Arcan_norm,0.27419354838709675
CM_in_degree,Clustering & Authority Score,0.0
CM_in_degree,Clustering & Betweenness Centrality,0.0
CM_in_degree,Clustering & Closeness Centrality,0.2
CM_in_degree,Clustering & Degree Centrality,0.0
CM_in_degree,Clustering & Eigenvector Centrality,0.0
CM_in_degree,Clustering & Hub Score,0.0
CM_in_degree,Clustering & In-degree Centrality,0.3333333333333333
CM_in_degree,Clustering & Out-degree Centrality,0.0
CM_in_degree,Clustering & PageRank Centrality,0.0
CM_in_degree,ER_in_degree,0.030303030303030304
CM_in_degree,ER_out_degree,0.0
CM_in_degree,LOUBAR_in_degree,0.008403361344537815
